name,municipality,iata_code
北京首都国际机场,北京,PEK
上海浦东国际机场,上海,PVG
上海虹桥国际机场,上海,SHA
广州白云国际机场,广州,CAN
西安咸阳国际机场,西安,XIY
成都双流国际机场,成都,CTU
深圳宝安国际机场,深圳,SZX
昆明长水国际机场,昆明,KMG
厦门高崎国际机场,厦门,XMN
杭州萧山国际机场,杭州,HGH
武汉天河国际机场,武汉,WUH
桂林两江国际机场,桂林,KWL
流亭机场,青岛,TAO
重庆江北国际机场,重庆,CKG
大连周水子国际机场,大连,DLC
天津滨海国际机场,天津,TSN
南京禄口机场,南京,NKG
遥墙机场,济南,TNA
丽江机场,丽江,LJG
郑州新郑国际机场,郑州,CGO
宁波栎社国际机场,宁波,NGB
太平机场,哈尔滨,HRB
福州长乐国际机场,福州,FOC
沈阳桃仙国际机场,沈阳,SHE
乌鲁木齐地窝堡国际机场,乌鲁木齐,URC
太原武宿机场,太原,TYN
三亚凤凰国际机场,三亚,SYX
屯溪国际机场,黄山,TXN
拉萨贡嘎机场,拉萨,LXA
龙嘉机场,长春,CGQ
珠海金湾机场,珠海,ZUH
兰州中川机场,兰州,LHW
海口美兰国际机场,海口,HAK
合肥骆岗国际机场,合肥,HFE
北京南苑机场,北京,NAY
温州龙湾国际机场,温州,WNZ
宜昌三峡机场,宜昌,YIH
南昌昌北国际机场,南昌,KHN
白塔国际机场,呼和浩特,HET
龙洞堡机场,贵阳,KWE
西宁曹家堡机场,西宁,XNN
常州奔牛机场,常州,CZX
泉州晋江国际机场,泉州,JJN
苏南硕放国际机场,无锡,WUX
西安西关机场,西安,SIA
九寨黄龙机场,九寨沟,JZH
南宁吴圩机场,南宁,NNG
包头机场,包头,BAV
黄岩路桥机场,黄岩,HYN
威海机场,威海,WEH
西昌青山机场,西昌,XIC
大庸机场,大庸,DYG
连云港机场,连云港,LYG
洛阳机场,洛阳,LYA
南通机场,南通,NTG
大理机场,下关,DLU
盐城机场,盐城,YNZ
北京大兴国际机场,北京,PKX
东营胜利机场,东营,DOY
井冈山机场,吉安,JGS
烟台蓬莱国际机场,烟台,YNT
运城关公机场,运城,YCU
长沙黄花国际机场,长沙,CSX
石家庄大郭村国际机场,石家庄,SJW
西双版纳嘎洒机场,景洪,JHG
和田机场,和田,HTN
林芝机场,林芝,LZY
大同机场,大同,DAT
揭阳潮汕国际机场,揭阳,SWA
柳州白莲机场,柳州,LZH
梅州梅县长岗岌国际机场,梅州,MXZ
迪庆机场,香格里拉,DIG
襄阳刘集机场,襄阳,XFN
徐州观音机场,徐州,XUZ
银川新城空军基地,银川,YEH
义乌机场,义乌,YIW
安阳机场,安阳,AYN
哈密机场,哈密,HMI
吉林机场,吉林,JIL
梧州长洲岛机场,梧州,WUZ
阿勒泰机场,阿勒泰,AAT
邯郸机场,邯郸,HDG
临沧机场,临沧,LNJ
吕梁机场,吕梁,LLV
古莲机场,漠河,OHE
鄂尔多斯伊金霍洛机场,鄂尔多斯,DSN
保安营机场,攀枝花,PZI
甘南夏河机场,夏河,GXH
宜春明月山机场,宜春,YIC
银川河东国际机场,银川,INC
阜阳西关机场,阜阳,FUG
玉树巴塘机场,玉树,YUS
遵义新舟机场,遵义,ZYI
呼伦贝尔海拉尔机场,海拉尔,HLD
黑河爱辉机场,黑河,HEK
阿克苏温宿机场,阿克苏,AKU
昌都邦达机场,邦达,BPX
赤峰机场,赤峰,CIF
敦煌机场,敦煌,DNH
